,incident_date,borough,zip_code
509,2015-05-04,Staten Island,10302.0
510,2015-05-04,Queens,11373.0
511,2015-05-04,Queens,11362.0
512,2015-05-04,Queens,11362.0
513,2015-05-04,Bronx,
514,2015-05-05,Manhattan,10029.0
515,2015-05-05,Manhattan,
516,2015-05-05,Queens,11377.0
517,2015-05-05,Staten Island,10302.0
518,2015-05-05,Staten Island,
519,2015-05-05,Queens,11692.0
520,2015-05-05,Staten Island,10310.0
521,2015-05-05,Staten Island,
522,2015-05-05,Queens,
523,2015-05-05,Bronx,
524,2015-05-05,Bronx,
525,2015-05-06,Brooklyn,11222.0
526,2015-05-06,Staten Island,
527,2015-05-06,Manhattan,10011.0
528,2015-05-07,Brooklyn,11226.0
529,2015-05-07,Queens,11691.0
530,2015-05-07,Brooklyn,11238.0
531,2015-05-07,Staten Island,10309.0
532,2015-05-07,Queens,
533,2015-05-07,Bronx,
534,2015-05-08,Queens,11423.0
535,2015-05-08,Queens,11377.0
536,2015-05-08,Queens,11372.0
537,2015-05-08,Queens,11356.0
538,2015-05-08,Queens,11105.0
539,2015-05-08,Staten Island,10310.0
540,2015-05-08,Queens,11368.0
541,2015-05-09,Manhattan,10037.0
542,2015-05-09,Brooklyn,11219.0
543,2015-05-09,Brooklyn,11208.0
544,2015-05-09,Brooklyn,11231.0
545,2015-05-09,Queens,11417.0
546,2015-05-09,Bronx,10468.0
547,2015-05-09,Manhattan,
548,2015-05-09,Queens,11373.0
549,2015-05-10,Brooklyn,
550,2015-05-10,Brooklyn,11228.0
551,2015-05-10,Brooklyn,11234.0
552,2015-05-10,Manhattan,10128.0
553,2015-05-11,Staten Island,10306.0
554,2015-05-11,Brooklyn,11218.0
555,2015-05-12,Brooklyn,11231.0
556,2015-05-12,Brooklyn,11213.0
557,2015-05-12,Bronx,10465.0
558,2015-05-12,Brooklyn,11233.0
559,2015-05-12,Manhattan,
560,2015-05-13,Bronx,10473.0
561,2015-05-13,Manhattan,
562,2015-05-13,Manhattan,
563,2015-05-13,Bronx,10457.0
564,2015-05-14,Brooklyn,11232.0
565,2015-05-14,Manhattan,
566,2015-05-14,Queens,11385.0
567,2015-05-15,Manhattan,
568,2015-05-15,Bronx,10464.0
569,2015-05-16,Brooklyn,
570,2015-05-16,Queens,11694.0
571,2015-05-16,Staten Island,10305.0
572,2015-05-17,Queens,11103.0
573,2015-05-17,Manhattan,10019.0
574,2015-05-17,Queens,
575,2015-05-18,Brooklyn,11211.0
576,2015-05-18,Brooklyn,11211.0
577,2015-05-18,Manhattan,10065.0
578,2015-05-18,Queens,11358.0
579,2015-05-18,Queens,11105.0
580,2015-05-19,Queens,11385.0
581,2015-05-19,Bronx,10462.0
582,2015-05-19,Queens,11434.0
583,2015-05-19,Bronx,10465.0
584,2015-05-19,Manhattan,10022.0
585,2015-05-19,Manhattan,10019.0
586,2015-05-19,Manhattan,10029.0
587,2015-05-20,Queens,
588,2015-05-20,Manhattan,
589,2015-05-20,Staten Island,10302.0
590,2015-05-20,Bronx,
591,2015-05-20,Queens,11362.0
592,2015-05-20,Brooklyn,11201.0
593,2015-05-20,Manhattan,
594,2015-05-20,Staten Island,
595,2015-05-20,Manhattan,10023.0
596,2015-05-21,Manhattan,
597,2015-05-21,Queens,11368.0
598,2015-05-22,Bronx,10463.0
599,2015-05-23,Brooklyn,
600,2015-05-23,Brooklyn,11214.0
601,2015-05-23,Staten Island,10312.0
602,2015-05-23,Staten Island,10303.0
603,2015-05-23,Brooklyn,11205.0
604,2015-05-24,Bronx,
605,2015-05-24,Brooklyn,
606,2015-05-24,Brooklyn,11236.0
607,2015-05-24,Brooklyn,11236.0
608,2015-05-24,Bronx,
609,2015-05-24,Brooklyn,11207.0
610,2015-05-24,Bronx,10458.0
611,2015-05-25,Bronx,10460.0
612,2015-05-25,Queens,11433.0
613,2015-05-25,Queens,11374.0
614,2015-05-25,Brooklyn,11234.0
615,2015-05-25,Queens,11434.0
616,2015-05-25,Bronx,10458.0
617,2015-05-25,Staten Island,
618,2015-05-25,Manhattan,
619,2015-05-25,Manhattan,
620,2015-05-26,Manhattan,10025.0
621,2015-05-26,Manhattan,10029.0
622,2015-05-26,Staten Island,10309.0
623,2015-05-27,Queens,11373.0
624,2015-05-27,Queens,
625,2015-05-27,Brooklyn,11237.0
626,2015-05-27,Bronx,10465.0
627,2015-05-27,Manhattan,10016.0
628,2015-05-28,Queens,11692.0
629,2015-05-28,Staten Island,10306.0
630,2015-05-28,Brooklyn,11236.0
631,2015-05-28,Manhattan,
632,2015-05-29,Brooklyn,11229.0
633,2015-05-29,Queens,11378.0
634,2015-05-29,Bronx,10456.0
635,2015-05-29,Bronx,10456.0
636,2015-05-29,Bronx,10456.0
637,2015-05-29,Bronx,10471.0
638,2015-05-30,Bronx,
639,2015-05-30,Brooklyn,11224.0
640,2015-05-30,Manhattan,10024.0
641,2015-05-30,Queens,
642,2015-05-30,Brooklyn,11208.0
643,2015-05-30,Queens,11378.0
644,2015-05-30,Brooklyn,11224.0
645,2015-05-30,Queens,11374.0
646,2015-05-31,Manhattan,10029.0
647,2015-05-31,Manhattan,10021.0
648,2015-05-31,Queens,
649,2015-05-31,Queens,11368.0
650,2015-05-31,Brooklyn,11236.0
651,2015-05-31,Brooklyn,11207.0
652,2015-06-01,Queens,11369.0
653,2015-06-01,Brooklyn,11217.0
654,2015-06-02,Brooklyn,11233.0
655,2015-06-02,Brooklyn,11228.0
656,2015-06-02,Manhattan,10065.0
657,2015-06-02,Queens,11375.0
658,2015-06-02,Bronx,10456.0
659,2015-06-02,Manhattan,
660,2015-06-02,Manhattan,10029.0
661,2015-06-03,Manhattan,10025.0
662,2015-06-03,Manhattan,10025.0
663,2015-06-03,Brooklyn,11238.0
664,2015-06-03,Manhattan,
665,2015-06-04,Bronx,10467.0
666,2015-06-04,Queens,11415.0
667,2015-06-04,Brooklyn,11226.0
668,2015-06-04,Brooklyn,11226.0
669,2015-06-04,Queens,11355.0
670,2015-06-04,Brooklyn,11214.0
671,2015-06-04,Bronx,10462.0
672,2015-06-05,Brooklyn,11231.0
673,2015-06-05,Queens,11436.0
674,2015-06-05,Queens,11377.0
675,2015-06-05,Staten Island,10309.0
676,2015-06-06,Queens,11358.0
677,2015-06-06,Bronx,10458.0
678,2015-06-06,Queens,11355.0
679,2015-06-06,Queens,11105.0
680,2015-06-06,Staten Island,10309.0
681,2015-06-06,Staten Island,
682,2015-06-06,Brooklyn,11234.0
683,2015-06-06,Staten Island,10306.0
684,2015-06-06,Staten Island,10302.0
685,2015-06-06,Bronx,10459.0
686,2015-06-06,Brooklyn,11234.0
687,2015-06-06,Queens,
688,2015-06-06,Queens,
689,2015-06-06,Manhattan,10023.0
690,2015-06-06,Manhattan,10032.0
691,2015-06-07,Bronx,10456.0
692,2015-06-07,Manhattan,
693,2015-06-07,Brooklyn,11231.0
694,2015-06-07,Queens,
695,2015-06-07,Manhattan,10003.0
696,2015-06-07,Bronx,10460.0
697,2015-06-07,Bronx,10453.0
698,2015-06-07,Brooklyn,11217.0
699,2015-06-07,Queens,11423.0
700,2015-06-07,Manhattan,10044.0
701,2015-06-08,Bronx,10472.0
702,2015-06-08,Staten Island,10307.0
703,2015-06-08,Queens,11372.0
704,2015-06-08,Manhattan,10012.0
705,2015-06-09,Bronx,
706,2015-06-09,Manhattan,
707,2015-06-09,Manhattan,10029.0
708,2015-06-09,Manhattan,
709,2015-06-09,Manhattan,10029.0
710,2015-06-09,Brooklyn,11208.0
711,2015-06-09,Brooklyn,
712,2015-06-09,Manhattan,10029.0
713,2015-06-10,Staten Island,10310.0
714,2015-06-10,Staten Island,10306.0
715,2015-06-10,Manhattan,10029.0
716,2015-06-10,Manhattan,
717,2015-06-10,Brooklyn,11223.0
718,2015-06-10,Queens,11372.0
719,2015-06-10,Queens,11356.0
720,2015-06-10,Brooklyn,11224.0
721,2015-06-11,Queens,11356.0
722,2015-06-11,Staten Island,10314.0
723,2015-06-12,Queens,11433.0
724,2015-06-12,Queens,11413.0
725,2015-06-12,Manhattan,10023.0
726,2015-06-12,Brooklyn,11235.0
727,2015-06-12,Manhattan,10023.0
728,2015-06-13,Bronx,10461.0
729,2015-06-13,Queens,
730,2015-06-13,Queens,11413.0
731,2015-06-13,Brooklyn,
732,2015-06-14,Manhattan,10032.0
733,2015-06-14,Queens,11101.0
734,2015-06-14,Bronx,
735,2015-06-14,Brooklyn,11230.0
736,2015-06-14,Brooklyn,
737,2015-06-14,Brooklyn,
738,2015-06-15,Queens,11379.0
739,2015-06-15,Queens,11691.0
740,2015-06-15,Bronx,10470.0
