,incident_date,breed,age,gender,spay_neuter_status,borough,zip_code
318,2015-03-31,lhasa apso,4.0,F,True,Bronx,10461
319,2015-03-31,yorkshire terrier,4.0,M,False,Manhattan,10027
320,2015-04-01,bichon frise,1.0,F,True,Manhattan,10022
321,2015-04-01,american pit bull mix / pit bull mix,1.0,F,False,Manhattan,
322,2015-04-01,lhasa apso,7.0,M,True,Manhattan,10002
323,2015-04-01,chihuahua mix,8.0,M,True,Bronx,10466
324,2015-04-01,bull terrier,1.0,M,False,Brooklyn,11201
325,2015-04-02,shiba inu,6.0,M,True,Staten Island,10312
326,2015-04-02,beagle,11.0,M,True,Queens,11365
327,2015-04-02,brussels griffon,1.0,F,False,Staten Island,
328,2015-04-02,"poodle, standard",1.0,M,False,Queens,
329,2015-04-02,mini pinscher/ chihuahua,2.0,M,False,Bronx,10472
330,2015-04-02,american staffordshire terrier,3.0,M,False,Queens,
331,2015-04-02,american pit bull terrier/pit bull,2.0,M,False,Manhattan,10032
332,2015-04-03,yorkshire terrier,12.0,F,True,Staten Island,10312
333,2015-04-03,yorkshire terrier,6.0,M,True,Brooklyn,11233
334,2015-04-03,boxer/hound/pitbull,6.0,F,True,Brooklyn,11216
335,2015-04-04,chihuahua,5.0,M,False,Manhattan,10032
336,2015-04-04,australian shepherd,5.0,M,True,Bronx,10463
337,2015-04-04,maltese - poodle x,3.0,M,False,Staten Island,10308
338,2015-04-04,labrador retriever,1.0,F,True,Staten Island,10308
339,2015-04-04,pit bull,2.0,M,False,Manhattan,
340,2015-04-04,german shepherd,2.0,M,True,Manhattan,10128
341,2015-04-04,shiba inu,1.0,M,True,Manhattan,10011
342,2015-04-05,jack russ,6.0,M,False,Manhattan,
343,2015-04-05,shih tzu,6.0,M,True,Manhattan,10002
344,2015-04-05,siberian husky,15.0,F,False,Queens,
345,2015-04-05,pit bull,4.0,F,False,Manhattan,
346,2015-04-05,labrador retriever crossbreed,3.0,M,False,Manhattan,
347,2015-04-05,yorkshire terrier,5.0,F,True,Bronx,10472
348,2015-04-05,shepherd mix,3.0,M,False,Staten Island,10309
349,2015-04-06,yorkshire terrier,4.0,M,True,Queens,11368
350,2015-04-06,yorkshire terrier,6.0,F,False,Brooklyn,11219
351,2015-04-06,"poodle, standard",2.0,M,False,Brooklyn,11213
352,2015-04-06,chihuahua crossbreed,0.0,M,False,Brooklyn,11205
353,2015-04-06,american pit bull terrier/pit bull,4.0,F,True,Brooklyn,11212
