,incident_date,breed,age,gender,spay_neuter_status
463,2015-04-27,pit bull,2.0,M,True
464,2015-04-27,shih tzu,3.0,M,False
465,2015-04-27,american staffordshire terrier,2.0,M,True
466,2015-04-27,american pit bull terrier/pit bull,2.0,M,False
467,2015-04-27,american staffordshire terrier,2.0,M,True
468,2015-04-27,pit bull,1.0,M,True
469,2015-04-28,"poodle, standard",7.0,M,False
470,2015-04-28,pit bull,2.0,F,True
471,2015-04-28,shiba inu,2.0,M,True
472,2015-04-28,american pit bull mix / pit bull mix,1.0,M,True
473,2015-04-28,chihuahua,12.0,F,False
474,2015-04-28,pit bull,5.0,M,False
475,2015-04-29,pit bull,5.0,M,False
476,2015-04-29,pit bull,3.0,F,False
477,2015-04-29,pug,3.0,M,True
478,2015-04-29,boxer,1.0,M,True
479,2015-04-29,pointer/beagle x,7.0,F,False
480,2015-04-29,shiba inu,5.0,M,True
481,2015-04-29,pit bull,2.0,F,False
482,2015-04-29,pit bull,3.0,F,False
483,2015-04-29,,7.0,M,False
484,2015-04-30,german shepherd/ridgeback,5.0,M,True
485,2015-04-30,sharpei-mastiff mix,7.0,F,False
486,2015-05-01,american staffordshire terrier,8.0,M,True
487,2015-05-01,maltese - x,3.0,F,False
488,2015-05-01,boxer,2.0,M,True
489,2015-05-01,pit bull,8.0,M,False
490,2015-05-01,staffordshire terr,7.0,F,True
491,2015-05-01,pit bull,2.0,F,True
492,2015-05-01,bichon frise,8.0,M,True
493,2015-05-02,american pit bull mix / pit bull mix,1.0,M,False
494,2015-05-02,havanese,3.0,M,True
495,2015-05-02,siberian husky,4.0,M,True
496,2015-05-02,bull dog,3.0,M,True
497,2015-05-02,american staffordshire terrier,1.0,M,True
498,2015-05-02,beagle,6.0,F,True
499,2015-05-02,labrador retriever,7.0,M,True
500,2015-05-02,"collie, border",14.0,M,True
501,2015-05-02,american pit bull mix / pit bull mix,1.0,M,False
502,2015-05-03,yorkshire terrier,1.0,M,False
503,2015-05-03,pit bull,4.0,M,True
504,2015-05-03,basenji,2.0,M,True
505,2015-05-03,mixed/other,8.0,M,False
506,2015-05-03,dachshund smooth coat,8.0,F,True
507,2015-05-04,american pit bull mix / pit bull mix,0.0,M,False
