,incident_date,breed,borough
391,2015-04-13,maltese,Queens
392,2015-04-13,chihuahua,Brooklyn
393,2015-04-14,terrier mix,Queens
394,2015-04-14,,Manhattan
395,2015-04-14,american pit bull mix / pit bull mix,Brooklyn
396,2015-04-14,beagle crossbreed,Brooklyn
397,2015-04-14,yorkshire terrier crossbreed,Bronx
398,2015-04-15,maltese/poodle,Manhattan
399,2015-04-15,yorkshire terrier,Manhattan
400,2015-04-16,shih tzu,Bronx
401,2015-04-16,"bull dog, english",Queens
402,2015-04-16,labrador retriever crossbreed,Manhattan
403,2015-04-16,rottweiler,Brooklyn
404,2015-04-16,american pit bull terrier/pit bull,Brooklyn
405,2015-04-17,labrador/cocker spaniel,Queens
406,2015-04-17,beagle/jack russ,Brooklyn
407,2015-04-17,american pit bull terrier/pit bull,Brooklyn
408,2015-04-17,border terrier,Brooklyn
409,2015-04-17,terrier,Queens
410,2015-04-17,labrador retriever,Staten Island
411,2015-04-17,shih tzu,Queens
412,2015-04-18,chow chow,Queens
413,2015-04-18,german shepherd,Queens
414,2015-04-18,pit bull,Queens
415,2015-04-18,mixed/other,Manhattan
416,2015-04-18,cookapoo,Staten Island
417,2015-04-19,mixed/other,Staten Island
418,2015-04-19,sheperd,Manhattan
419,2015-04-19,lhasa apso,Manhattan
420,2015-04-19,boxer mix,Manhattan
421,2015-04-19,italian mastiff,Brooklyn
422,2015-04-19,american pit bull terrier/pit bull,Brooklyn
423,2015-04-19,german shepherd crossbreed,Brooklyn
424,2015-04-20,jsck russel/dalmation,Staten Island
425,2015-04-20,,Queens
426,2015-04-20,pit bull,Queens
427,2015-04-20,,Brooklyn
428,2015-04-20,chihuahua/ jack russell terrier,Manhattan
429,2015-04-20,chihuahua,Manhattan
430,2015-04-20,"collie, border",Staten Island
431,2015-04-20,labrador retriever,Queens
432,2015-04-20,shiba inu,Queens
433,2015-04-21,pit bull,Queens
434,2015-04-21,german shepherd crossbreed,Manhattan
435,2015-04-22,maltese,Brooklyn
436,2015-04-22,american staffordshire terrier,Manhattan
437,2015-04-22,pit bull,Bronx
438,2015-04-22,pit bull/dogo argentino,Staten Island
439,2015-04-23,cane corso,Brooklyn
440,2015-04-23,parson russellterr,Brooklyn
441,2015-04-23,pit bull,Queens
442,2015-04-23,golden retriever,Manhattan
443,2015-04-24,wheaton terrier,Staten Island
444,2015-04-24,mixed/other,Manhattan
445,2015-04-24,pit bull,Queens
446,2015-04-25,boxer,Queens
447,2015-04-25,shih tzu,Brooklyn
448,2015-04-25,shih tzu,Brooklyn
449,2015-04-25,german shepherd,Brooklyn
450,2015-04-25,cocker spaniel,Queens
451,2015-04-25,american pit bull terrier/pit bull,Brooklyn
452,2015-04-25,american pit bull terrier/pit bull,Brooklyn
453,2015-04-25,chow chow,Queens
454,2015-04-26,chihuahua,Bronx
455,2015-04-26,rottweiler,Queens
456,2015-04-26,german shepherd crossbreed,Manhattan
